      Time(s)  AccL(cm/s2)  AccV(cm/s2)  AccT(cm/s2)
 0.000000E+00 -.107780E+01 -.586970E+00 0.152870E+01
 0.500000E-02 -.108700E+01 -.587190E+00 0.153760E+01
 0.100000E-01 -.109610E+01 -.587390E+00 0.154650E+01
 0.150000E-01 -.110540E+01 -.587580E+00 0.155530E+01
 0.200000E-01 -.111460E+01 -.587760E+00 0.156420E+01
 0.250000E-01 -.112390E+01 -.587930E+00 0.157320E+01
 0.300000E-01 -.113310E+01 -.588080E+00 0.158210E+01
 0.350000E-01 -.114250E+01 -.588220E+00 0.159100E+01
 0.400000E-01 -.115180E+01 -.588340E+00 0.159990E+01
 0.450000E-01 -.116120E+01 -.588450E+00 0.160880E+01
 0.500000E-01 -.117050E+01 -.588540E+00 0.161780E+01
 0.550000E-01 -.118000E+01 -.588630E+00 0.162670E+01
 0.600000E-01 -.118940E+01 -.588690E+00 0.163560E+01
 0.650000E-01 -.119880E+01 -.588750E+00 0.164460E+01
 0.700000E-01 -.120830E+01 -.588790E+00 0.165350E+01
 0.750000E-01 -.121780E+01 -.588810E+00 0.166250E+01
 0.800000E-01 -.122740E+01 -.588820E+00 0.167140E+01
 0.850000E-01 -.123690E+01 -.588820E+00 0.168040E+01
 0.900000E-01 -.124650E+01 -.588800E+00 0.168940E+01
 0.950000E-01 -.125610E+01 0.263690E+00 0.169830E+01
 0.100000E+00 -.126580E+01 -.289830E+01 0.170730E+01
 0.105000E+00 -.127540E+01 -.597820E+01 0.171630E+01
 0.110000E+00 -.128510E+01 -.552810E+01 0.172520E+01
 0.115000E+00 -.129480E+01 -.473800E+01 0.173420E+01
 0.120000E+00 -.130450E+01 -.934930E+00 0.174320E+01
 0.125000E+00 -.131430E+01 -.442810E+00 0.175220E+01
 0.130000E+00 -.132410E+01 0.953190E-01 0.176120E+01
 0.135000E+00 -.133390E+01 0.108470E+00 0.177020E+01
 0.140000E+00 -.134370E+01 0.200630E+00 0.177910E+01
 0.145000E+00 -.135350E+01 0.152280E+01 0.178810E+01
 0.150000E+00 -.136340E+01 0.333300E+01 0.179710E+01
 0.155000E+00 -.137330E+01 0.596320E+01 0.180610E+01
 0.160000E+00 -.138320E+01 0.419340E+01 0.181510E+01
 0.165000E+00 -.139310E+01 0.352370E+01 0.182410E+01
 0.170000E+00 -.140310E+01 0.353390E+01 0.183310E+01
 0.175000E+00 -.141300E+01 0.354420E+01 0.184210E+01
 0.180000E+00 -.116650E+01 0.356450E+01 0.185110E+01
 0.185000E+00 -.170750E+01 0.357470E+01 0.186010E+01
 0.190000E+00 -.718590E+00 0.260510E+01 0.186900E+01
 0.195000E+00 -.516650E+00 0.249540E+01 0.187800E+01
 0.200000E+00 0.533260E+00 0.277570E+01 0.188700E+01
 0.205000E+00 0.101320E+01 0.268610E+01 0.189600E+01
 0.210000E+00 0.165300E+01 -.598260E+00 0.190500E+01
 0.215000E+00 0.165290E+01 -.364320E+01 0.191400E+01
 0.220000E+00 0.165270E+01 -.518280E+01 0.192300E+01
 0.225000E+00 0.192510E+00 -.570240E+01 0.193190E+01
 0.230000E+00 -.135070E+01 -.815190E+01 0.194090E+01
 0.235000E+00 -.279290E-01 -.739150E+01 0.194990E+01
 0.240000E+00 0.521820E+00 -.738100E+01 0.195890E+01
 0.245000E+00 0.521550E+00 -.445060E+01 0.196780E+01
 0.250000E+00 0.164130E+01 -.285010E+01 0.197680E+01
 0.255000E+00 0.164090E+01 -.151960E+01 0.198580E+01
 0.260000E+00 0.210060E+01 0.730950E+00 0.199470E+01
 0.265000E+00 0.276030E+01 0.335150E+01 0.200370E+01
 0.270000E+00 0.274990E+01 0.294200E+01 0.201260E+01
 0.275000E+00 0.274950E+01 0.484260E+01 0.202160E+01
 0.280000E+00 0.146910E+01 0.399320E+01 0.203050E+01
 0.285000E+00 0.868650E+00 0.567380E+01 0.203940E+01
 0.290000E+00 0.105820E+01 0.887440E+01 0.204840E+01
 0.295000E+00 -.272260E+00 0.978500E+01 0.205730E+01
 0.300000E+00 -.624750E+00 0.944560E+01 0.206620E+01
 0.305000E+00 -.679250E+00 0.818630E+01 0.207510E+01
 0.310000E+00 -.175080E+01 0.451700E+01 0.208410E+01
 0.315000E+00 -.129330E+01 0.236770E+01 0.209300E+01
 0.320000E+00 -.634870E+00 0.237840E+01 0.210190E+01
 0.325000E+00 -.635450E+00 0.455910E+01 0.211070E+01
