      Time(s)  AccL(cm/s2)  AccV(cm/s2)  AccT(cm/s2)
 0.000000E+00 -.141740E+00 -.150410E+01 -.113400E+01
 0.500000E-02 -.141970E+00 -.150690E+01 -.113610E+01
 0.100000E-01 0.665040E+00 -.150960E+01 -.113820E+01
 0.150000E-01 0.139080E+01 -.151230E+01 -.114040E+01
 0.200000E-01 0.222060E+01 -.151500E+01 -.114250E+01
 0.250000E-01 0.151030E+01 -.151770E+01 -.114460E+01
 0.300000E-01 0.131010E+01 -.152050E+01 -.114670E+01
 0.350000E-01 0.592880E+00 -.152320E+01 -.114890E+01
 0.400000E-01 0.919650E+00 -.152590E+01 -.115100E+01
 0.450000E-01 0.305420E+00 -.933660E+00 -.115310E+01
 0.500000E-01 0.312190E+00 -.319740E+01 -.115520E+01
 0.550000E-01 0.318960E+00 -.363010E+01 -.115730E+01
 0.600000E-01 0.326730E+00 -.496280E+01 -.115950E+01
 0.650000E-01 0.733510E+00 -.590550E+01 -.116160E+01
 0.700000E-01 0.146830E+01 -.467820E+01 -.116370E+01
 0.750000E-01 0.147810E+01 -.197490E+01 -.116580E+01
 0.800000E-01 0.469830E+00 -.303600E+00 -.116790E+01
 0.850000E-01 -.678390E+00 -.356290E+00 -.117000E+01
 0.900000E-01 0.368380E+00 -.245900E+01 -.117210E+01
 0.950000E-01 0.375160E+00 -.245170E+01 -.117420E+01
 0.100000E+00 0.382940E+00 -.244440E+01 -.117630E+01
 0.105000E+00 0.129670E+01 -.243710E+01 -.117840E+01
 0.110000E+00 0.152650E+01 -.243970E+01 -.118050E+01
 0.115000E+00 0.153630E+01 -.243240E+01 -.118260E+01
 0.120000E+00 0.114610E+01 -.242510E+01 -.118470E+01
 0.125000E+00 0.417830E+00 -.121880E+01 -.118680E+01
 0.130000E+00 0.424620E+00 -.140470E+00 -.118890E+01
 0.135000E+00 -.572600E+00 0.886850E+00 -.119100E+01
 0.140000E+00 -.689820E+00 0.207420E+01 -.119310E+01
 0.145000E+00 -.398030E+00 0.151510E+00 -.119520E+01
 0.150000E+00 0.452750E+00 -.344120E+01 -.119730E+01
 0.155000E+00 0.459540E+00 -.963380E+01 -.119930E+01
 0.160000E+00 0.136430E+01 -.153360E+02 -.120140E+01
 0.165000E+00 0.500110E+00 -.160390E+02 -.120350E+01
 0.170000E+00 0.480900E+00 -.196420E+02 -.143730E+01
 0.175000E+00 0.487690E+00 -.210440E+02 -.103140E+01
 0.180000E+00 0.108350E+01 -.211470E+02 -.241460E+00
 0.185000E+00 0.843260E+00 -.198500E+02 0.593470E+00
 0.190000E+00 0.509050E+00 -.144520E+02 0.951400E+00
 0.195000E+00 0.515850E+00 -.791510E+01 0.214930E+01
 0.200000E+00 0.522640E+00 -.549770E+01 0.243730E+01
 0.205000E+00 0.530430E+00 -.511040E+01 0.334520E+01
 0.210000E+00 0.537230E+00 -.576300E+01 0.334320E+01
 0.215000E+00 0.544020E+00 -.106760E+02 0.335110E+01
 0.220000E+00 0.550820E+00 -.424830E+01 0.220900E+01
 0.225000E+00 0.558610E+00 0.715910E+01 0.217700E+01
 0.230000E+00 0.565410E+00 0.244260E+02 0.218490E+01
 0.235000E+00 0.572210E+00 0.377240E+02 0.972880E+00
 0.240000E+00 0.579000E+00 0.516210E+02 0.640840E+00
 0.245000E+00 -.400200E+00 0.567190E+02 0.204880E+01
 0.250000E+00 -.159940E+01 0.582160E+02 0.338670E+01
 0.255000E+00 -.527600E+00 0.596130E+02 0.339470E+01
 0.260000E+00 -.497950E-01 0.600110E+02 0.339270E+01
 0.265000E+00 -.609920E-01 0.579080E+02 0.340060E+01
 0.270000E+00 0.372810E+00 0.544060E+02 0.340860E+01
 0.275000E+00 0.628610E+00 0.481030E+02 0.341660E+01
 0.280000E+00 0.635420E+00 0.425000E+02 0.477450E+01
 0.285000E+00 0.643230E+00 0.455980E+02 0.579250E+01
 0.290000E+00 0.650030E+00 0.496950E+02 0.580050E+01
 0.295000E+00 0.656840E+00 0.466930E+02 0.580850E+01
 0.300000E+00 0.663650E+00 0.233900E+02 0.478640E+01
 0.305000E+00 0.671460E+00 -.100330E+02 0.462440E+01
