      Time(s)  AccL(cm/s2)  AccV(cm/s2)  AccT(cm/s2)
 0.000000E+00 0.282900E-01 -.432300E-02 0.351940E-01
 0.500000E-02 0.282420E-01 0.205810E+00 0.351130E-01
 0.100000E-01 0.281940E-01 0.205800E+00 0.350310E-01
 0.150000E-01 0.281460E-01 0.205800E+00 0.349490E-01
 0.200000E-01 0.280960E-01 0.205790E+00 0.348660E-01
 0.250000E-01 0.280460E-01 0.205780E+00 0.347830E-01
 0.300000E-01 0.279960E-01 0.205780E+00 0.346980E-01
 0.350000E-01 0.279450E-01 0.205770E+00 0.346130E-01
 0.400000E-01 0.278930E-01 0.205760E+00 0.345280E-01
 0.450000E-01 0.278410E-01 0.205760E+00 0.344410E-01
 0.500000E-01 0.277890E-01 0.205750E+00 0.343540E-01
 0.550000E-01 0.277350E-01 0.205740E+00 0.342670E-01
 0.600000E-01 0.276820E-01 0.205740E+00 0.341780E-01
 0.650000E-01 0.276270E-01 0.205730E+00 0.340890E-01
 0.700000E-01 0.275720E-01 0.205730E+00 0.339990E-01
 0.750000E-01 0.275170E-01 0.205720E+00 0.339090E-01
 0.800000E-01 0.274610E-01 0.205720E+00 0.338180E-01
 0.850000E-01 0.274040E-01 0.205710E+00 0.337260E-01
 0.900000E-01 0.273470E-01 -.275290E+00 0.336330E-01
 0.950000E-01 0.272890E-01 0.205700E+00 0.335400E-01
 0.100000E+00 0.272310E-01 -.275300E+00 0.334460E-01
 0.105000E+00 0.271720E-01 0.205690E+00 0.333520E-01
 0.110000E+00 0.271120E-01 0.205690E+00 0.332570E-01
 0.115000E+00 0.270520E-01 0.205680E+00 0.331610E-01
 0.120000E+00 0.269920E-01 0.205680E+00 0.330640E-01
 0.125000E+00 0.269300E-01 -.275330E+00 0.329670E-01
 0.130000E+00 0.268690E-01 -.275330E+00 0.328690E-01
 0.135000E+00 0.268060E-01 -.275330E+00 0.327700E-01
 0.140000E+00 0.267440E-01 0.205660E+00 0.326710E-01
 0.145000E+00 0.266800E-01 0.205660E+00 0.325710E-01
 0.150000E+00 0.266160E-01 0.205660E+00 0.324710E-01
 0.155000E+00 0.265520E-01 -.275350E+00 0.323690E-01
 0.160000E+00 0.264860E-01 0.205650E+00 0.322680E-01
 0.165000E+00 0.264210E-01 -.275350E+00 0.321650E-01
 0.170000E+00 0.263540E-01 -.275360E+00 0.320620E-01
 0.175000E+00 0.262880E-01 0.205640E+00 0.319580E-01
 0.180000E+00 0.262200E-01 0.205640E+00 0.318530E-01
 0.185000E+00 0.261520E-01 0.205640E+00 0.317480E-01
 0.190000E+00 0.260840E-01 0.205640E+00 0.316420E-01
 0.195000E+00 0.260150E-01 -.275370E+00 0.315350E-01
 0.200000E+00 0.259450E-01 0.205630E+00 0.314280E-01
 0.205000E+00 0.258750E-01 0.205630E+00 0.313200E-01
 0.210000E+00 0.258040E-01 0.205630E+00 0.312120E-01
 0.215000E+00 0.257330E-01 0.205630E+00 0.311030E-01
 0.220000E+00 0.256610E-01 0.205630E+00 0.309930E-01
 0.225000E+00 0.255880E-01 -.275370E+00 0.308820E-01
 0.230000E+00 0.255150E-01 0.205620E+00 0.307710E-01
 0.235000E+00 0.254420E-01 -.275380E+00 0.306590E-01
 0.240000E+00 0.253670E-01 0.205620E+00 0.305470E-01
 0.245000E+00 0.252930E-01 -.275380E+00 0.304340E-01
 0.250000E+00 0.252170E-01 0.205620E+00 0.303200E-01
 0.255000E+00 0.251420E-01 -.275380E+00 0.302060E-01
 0.260000E+00 0.250650E-01 -.275380E+00 0.300910E-01
 0.265000E+00 0.249880E-01 0.205620E+00 0.299750E-01
 0.270000E+00 0.249110E-01 0.205620E+00 0.298590E-01
 0.275000E+00 0.248330E-01 -.275370E+00 0.297420E-01
 0.280000E+00 0.247540E-01 0.205630E+00 0.296240E-01
 0.285000E+00 0.246750E-01 0.205630E+00 0.295060E-01
 0.290000E+00 0.245950E-01 0.205630E+00 0.293870E-01
 0.295000E+00 0.245150E-01 0.205630E+00 0.292670E-01
 0.300000E+00 0.244340E-01 0.205630E+00 0.291470E-01
 0.305000E+00 0.243520E-01 -.275370E+00 0.290270E-01
 0.310000E+00 0.242700E-01 0.205630E+00 0.289050E-01
 0.315000E+00 0.241880E-01 -.275360E+00 0.287830E-01
 0.320000E+00 0.241050E-01 0.205640E+00 0.286610E-01
 0.325000E+00 0.240210E-01 0.205640E+00 0.285370E-01
 0.330000E+00 0.239370E-01 0.205640E+00 0.284130E-01
 0.335000E+00 0.238520E-01 -.275350E+00 0.282890E-01
 0.340000E+00 0.237670E-01 -.275350E+00 0.281640E-01
 0.345000E+00 0.236810E-01 0.205650E+00 0.280380E-01
 0.350000E+00 0.235950E-01 0.205660E+00 0.279120E-01
 0.355000E+00 0.235080E-01 -.275340E+00 0.277850E-01
 0.360000E+00 0.234200E-01 0.205660E+00 0.276570E-01
 0.365000E+00 0.233320E-01 -.275330E+00 0.275290E-01
 0.370000E+00 0.232430E-01 0.205670E+00 0.274000E-01
 0.375000E+00 0.231540E-01 -.275320E+00 0.272710E-01
 0.380000E+00 0.230650E-01 0.205680E+00 0.271410E-01
 0.385000E+00 0.229740E-01 -.275310E+00 0.270100E-01
 0.390000E+00 0.228830E-01 0.205690E+00 0.268790E-01
 0.395000E+00 0.227920E-01 0.205700E+00 0.267470E-01
 0.400000E+00 0.227000E-01 -.275300E+00 0.266150E-01
 0.405000E+00 0.226080E-01 0.205710E+00 0.264820E-01
 0.410000E+00 0.225150E-01 -.275290E+00 0.263480E-01
 0.415000E+00 0.224210E-01 -.275280E+00 0.262140E-01
 0.420000E+00 0.223270E-01 0.205720E+00 0.260800E-01
