      Time(s)  AccL(cm/s2)  AccV(cm/s2)  AccT(cm/s2)
 0.000000E+00 -.365200E+00 -.106560E+01 -.338670E+00
 0.500000E-02 -.367200E+00 -.107020E+01 -.339510E+00
 0.100000E-01 -.369210E+00 -.107480E+01 -.340350E+00
 0.150000E-01 -.371220E+00 -.107930E+01 -.341190E+00
 0.200000E-01 -.373240E+00 -.108390E+01 -.342020E+00
 0.250000E-01 -.375250E+00 -.108850E+01 -.342850E+00
 0.300000E-01 -.377270E+00 -.109310E+01 -.343680E+00
 0.350000E-01 -.379290E+00 -.109770E+01 -.344500E+00
 0.400000E-01 -.381310E+00 -.110230E+01 -.345310E+00
 0.450000E-01 -.383340E+00 -.110690E+01 -.346130E+00
 0.500000E-01 -.385360E+00 -.111140E+01 -.346930E+00
 0.550000E-01 -.387390E+00 -.111600E+01 -.347730E+00
 0.600000E-01 -.389410E+00 -.112060E+01 -.348530E+00
 0.650000E-01 -.391440E+00 -.112510E+01 -.349320E+00
 0.700000E-01 -.393470E+00 -.112970E+01 -.350110E+00
 0.750000E-01 -.395510E+00 -.113430E+01 -.350900E+00
 0.800000E-01 -.397540E+00 -.113880E+01 -.351680E+00
 0.850000E-01 -.399580E+00 -.114340E+01 -.352450E+00
 0.900000E-01 -.401610E+00 -.114800E+01 -.353220E+00
 0.950000E-01 -.403650E+00 -.115250E+01 -.353980E+00
 0.100000E+00 -.405690E+00 -.115710E+01 -.292140E+00
 0.105000E+00 -.407730E+00 -.116160E+01 0.147710E+00
 0.110000E+00 -.409770E+00 -.113350E+01 0.714960E+00
 0.115000E+00 -.411820E+00 -.168940E+01 0.131420E+01
 0.120000E+00 -.413860E+00 -.169300E+01 0.131350E+01
 0.125000E+00 -.415910E+00 -.141050E+01 0.131270E+01
 0.130000E+00 -.417950E+00 -.772020E+00 0.131200E+01
 0.135000E+00 -.420000E+00 -.617550E+00 0.801280E+00
 0.140000E+00 -.422050E+00 0.505930E+00 0.155560E+00
 0.145000E+00 -.424100E+00 0.871420E+00 0.156850E+00
 0.150000E+00 -.426150E+00 0.456910E+00 -.938610E-01
 0.155000E+00 -.428200E+00 -.212600E+00 -.421270E+00
 0.160000E+00 -.430250E+00 -.636110E+00 -.420060E+00
 0.165000E+00 -.432310E+00 -.639610E+00 -.418960E+00
 0.170000E+00 -.434360E+00 -.729100E+00 -.997650E+00
 0.175000E+00 -.436420E+00 -.137460E+01 -.996330E+00
 0.180000E+00 -.438470E+00 -.230010E+01 -.995010E+00
 0.185000E+00 -.440530E+00 -.321460E+01 -.587680E+00
 0.190000E+00 -.442580E+00 -.385900E+01 -.413050E+00
 0.195000E+00 -.444640E+00 -.392350E+01 -.411810E+00
 0.200000E+00 -.446700E+00 -.379800E+01 -.552670E+00
 0.205000E+00 -.606060E+00 -.223240E+01 -.989320E+00
 0.210000E+00 -.948120E+00 0.973120E+00 -.133900E+01
 0.215000E+00 -.141420E+01 0.417870E+01 -.201960E+01
 0.220000E+00 -.154620E+01 0.830420E+01 -.158020E+01
 0.225000E+00 -.145830E+01 0.115000E+02 -.148090E+01
 0.230000E+00 -.756360E+00 0.126950E+02 -.791500E+00
 0.235000E+00 -.574160E-01 0.114910E+02 -.105110E+00
 0.240000E+00 0.645520E+00 0.845650E+01 0.179270E+00
 0.245000E+00 0.134350E+01 0.508210E+01 0.119670E+01
 0.250000E+00 0.204140E+01 0.131770E+01 0.134610E+01
 0.255000E+00 0.259930E+01 -.176370E+01 0.134550E+01
 0.260000E+00 0.234730E+01 -.343110E+01 0.134490E+01
 0.265000E+00 0.200520E+01 -.343550E+01 0.134430E+01
 0.270000E+00 0.200320E+01 -.216390E+01 0.134370E+01
 0.275000E+00 0.200110E+01 -.763250E+00 0.135310E+01
 0.280000E+00 0.140900E+01 0.153140E+01 0.151260E+01
 0.285000E+00 0.121700E+01 0.233700E+01 0.251200E+01
 0.290000E+00 0.814930E+00 0.362270E+01 0.251150E+01
 0.295000E+00 0.812870E+00 0.452830E+01 0.212090E+01
 0.300000E+00 0.810810E+00 0.516400E+01 0.143040E+01
 0.305000E+00 0.868750E+00 0.518970E+01 0.193980E+01
 0.310000E+00 0.199670E+01 0.402530E+01 0.193930E+01
 0.315000E+00 0.199460E+01 0.338100E+01 0.217880E+01
 0.320000E+00 0.199260E+01 0.240670E+01 0.251830E+01
 0.325000E+00 0.199050E+01 0.196240E+01 0.251770E+01
 0.330000E+00 0.141850E+01 0.299810E+01 0.252720E+01
 0.335000E+00 0.131640E+01 0.427380E+01 0.252670E+01
 0.340000E+00 0.804360E+00 0.572950E+01 0.252620E+01
 0.345000E+00 0.802310E+00 0.764530E+01 0.195580E+01
 0.350000E+00 0.395250E+00 0.879100E+01 0.136530E+01
 0.355000E+00 0.203200E+00 0.998670E+01 0.136480E+01
 0.360000E+00 0.201150E+00 0.105830E+02 0.195430E+01
 0.365000E+00 0.200100E+00 0.867830E+01 0.208390E+01
 0.370000E+00 0.672050E+00 0.464400E+01 0.253340E+01
 0.375000E+00 0.173000E+01 -.150180E+00 0.253300E+01
 0.380000E+00 0.197800E+01 -.699440E+01 0.253250E+01
 0.385000E+00 0.197590E+01 -.113390E+02 0.254210E+01
 0.390000E+00 0.190390E+01 -.156430E+02 0.188160E+01
 0.395000E+00 0.120180E+01 -.157470E+02 0.120120E+01
 0.400000E+00 0.789790E+00 -.122510E+02 0.519790E+00
 0.405000E+00 0.386740E+00 -.804530E+01 -.164620E+00
 0.410000E+00 -.315290E+00 -.309950E+01 -.848030E+00
 0.415000E+00 -.442530E+00 0.306380E+00 -.211040E+01
 0.420000E+00 -.134040E+01 0.123220E+01 -.267080E+01
